id,against,amount,object_id,content_type_id,receipt_id
11378,Invoice,100000,13376,93,8146
11379,Invoice,100000,13376,93,8147
11380,Invoice,100000,13376,93,8148
11381,Invoice,100000,13376,93,8149
12135,Invoice,1000000,13376,93,8656
12219,Invoice,1000000,13376,93,8706
13402,Invoice,1283803,13376,93,9525
13403,Invoice,3683803,13377,93,9525
13404,Invoice,3683803,13378,93,9525
13405,Invoice,3683803,13379,93,9525
13406,Invoice,3683803,13380,93,9525
13407,Invoice,1841902,13381,93,9525
13408,Invoice,1841902,13382,93,9525
13409,Invoice,1841902,13383,93,9525
13410,Invoice,281518,13384,93,9525
14198,Invoice,1560384,13384,93,10084
14201,Invoice,1565616,13385,93,10084
15621,Invoice,276286,13385,93,11075
15622,Invoice,1841902,13386,93,11075
15623,Invoice,946801,13387,93,11075
18218,Invoice,895101,13387,93,12481
28690,Invoice,3683803,13388,93,16403
28691,Invoice,1488308,13389,93,16403
28693,Advance,137800,NULL,NULL,16405
28696,Invoice,162604,13391,93,16408
3841,Invoice,176797,13389,93,2625
3842,Invoice,176797,13389,93,2626
